title,source,type,skills_taught
Python for Everybody,Coursera,Course,"Python;Programming;Developer;Data Structures;SQL;Web Scraping"
Google Data Analytics,Coursera,Certification,"SQL;Tableau;R;Data Analysis;Data Analyst;Spreadsheets;Data Visualization;Business Intelligence"
IBM Full Stack Software Developer,Coursera,Certification,"HTML;CSS;JavaScript;React;Node.js;Express.js;DevOps;Cloud Computing;Full Stack;Developer;Backend;Frontend"
Deep Learning Specialization,Coursera,Course,"Deep Learning;Neural Networks;TensorFlow;Machine Learning;AI;Python;ML Engineer"
AWS Cloud Practitioner Essentials,AWS,Course,"AWS;Cloud Computing;Cloud Concepts;Infrastructure;DevOps"
The Complete 2024 Web Development Bootcamp,Udemy,Course,"HTML;CSS;JavaScript;Node.js;React;MongoDB;Web Development;Full Stack;Frontend;Backend"
The Complete Python Pro Bootcamp,Udemy,Course,"Python;Web Development;Automation;Data Science;Machine Learning;Developer"
React - The Complete Guide,Udemy,Course,"React;JavaScript;Frontend Development;Web Development;UI"
Introduction to SQL,Khan Academy,Course,"SQL;Databases;Data Analysis;Data Analyst"
Figma UI UX Design Essentials,Udemy,Course,"Figma;UI Design;UX Design;Prototyping;Designer"
CS50's Introduction to Computer Science,HarvardX,Course,"Computer Science;C;Python;SQL;Algorithms;Data Structures;Software Engineer"
Python Tutorial for Beginners,YouTube,YouTube Video,"Python;Programming Fundamentals;Developer"
Learn JavaScript - Full Course for Beginners,YouTube,YouTube Video,"JavaScript;Web Development;Frontend"
Learn React In 30 Minutes,YouTube,YouTube Video,"React;Frontend Development;UI"
SQL Tutorial - Full Database Course for Beginners,YouTube,YouTube Video,"SQL;Databases;Data Analyst"
